Device,Management IP,Interface,Interface Status,Admin Status,Operational Status,Decom/Scream Test Candidate,Score Rate,VLAN,Mode,Native VLAN,Allowed VLANs,Circuit Vendor,Circuit IDs,Circuit Type,Circuit Directly Attached,Matched Keywords,Description,MAC Count,MAC Addresses,MAC Vendor,Device Type,Notes
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth101/1/14,notconnec,up,down,Yes,1,trunk,trunk,1,,Unknown,,,DDC1-ACCESSLAB-FW1,,DDC1-ACCESSLAB-FW1 Eth1/2,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth101/1/15,connected,up,up,Yes,0,160,access,1,,Unknown,,,DDC1-NMGT-FNS1,,DDC1-NMGT-FNS1 LAN1,1,ac1f.6b75.ebd7,"Super Micro Computer, Inc.",Unknown,Vendor Unknown; Circuit ID Missing
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth101/1/16,connected,up,up,No,0,160,access,1,,Unknown,,,DDC1-NMGT-FNS1,,DDC1-NMGT-FNS1 HA,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth101/1/17,notconnec,up,down,Yes,1,31,access,1,,Unknown,,,DDC1-AZUREB2B-FW1,,DDC1-AZUREB2B-FW1 Eth0/8,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW1,DDC1-ISP-DSW1,Eth101/1/18,notconnec,up,down,Yes,1,trunk,trunk,1,,Unknown,,,DDC1-SGA-AFW1,,DDC1-SGA-AFW1 Eth0/0,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/1,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-ISP-FW2,ISP,DDC1-ISP-FW2 Eth23,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/2,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-ISP-FW8,ISP,DDC1-ISP-FW8 Eth1/1,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/4,ChannelDown,up,down,Yes,1,trunk,trunk,1,,Unknown,,,DDC1-PCIDMZ-DFW2,,DDC1-PCIDMZ-DFW2 Eth1/3,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/5,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,CMM_FW2,,CMM_FW2,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/6,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,TEMP,,TEMP CMM_FW2,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/7,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-B2B-FW6,B2B,DDC1-B2B-FW6 E1/19,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/8,notconnec,up,down,Yes,1,30,access,1,,Unknown,,,DDC1-USONME-FW2,,DDC1-USONME-FW2 Ten2/0 mon,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/9,notconnec,up,down,Yes,1,7,access,1,,Unknown,,,DDC1-PRXY-FW2,,DDC1-PRXY-FW2 Eth2/1,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/10,notconnec,up,down,Yes,1,1,access,1,,Unknown,,,DDC1-MDFA1-IDS2,,DDC1-MDFA1-IDS2 ETH4,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/11,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC-ISP-FW6,ISP,DDC-ISP-FW6 Eth1/5,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/12,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-SCS-FW2,,DDC1-SCS-FW2 Eth1/6,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/13,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-PCIDMZ-DFW2,,DDC1-PCIDMZ-DFW2 E1/6,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/14,connected,up,up,No,0,6,access,1,,Unknown,,,To,PA,To PA DDC1-SMO-FW2 trust e1/9,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/15,connected,up,up,No,0,6,access,1,,Unknown,,,To,PA,To PA DDC1-SMO-FW2 trust e1/10,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/16,connected,up,up,No,0,40,access,1,,Unknown,,,DDC1-ISP-FW6,"ISP,PRISMA",DDC1-ISP-FW6 Eth1/10-prisma-access,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/17,sfpabsent,up,down,Yes,1,routed,,,,Unknown,,,--,,--,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/18,connected,up,up,No,0,30,access,1,,Unknown,,,DDC1-USONME-FW4,,DDC1-USONME-FW4 E1/7,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/19,connected,up,up,No,0,1710,access,1,,Unknown,,,DDC1-USON-FW6,,DDC1-USON-FW6 E9 AE3,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/20,connected,up,up,No,0,1710,access,1,,Unknown,,,DDC1-USON-FW6,,DDC1-USON-FW6 E10 AE3,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/21,connected,up,up,No,0,1,fex-fabric,1,,Unknown,,,--,,--,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/22,connected,up,up,No,0,1,fex-fabric,1,,Unknown,,,--,,--,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/23,connected,up,up,No,0,routed,,,,Unknown,,,DDC1-MDFE1-COR2,,DDC1-MDFE1-COR2 Eth1/4,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth1/24,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-ISP-DSW1,ISP,DDC1-ISP-DSW1 Eth1/24,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/1,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-ISP-FW2,ISP,DDC1-ISP-FW2 Eth24,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/2,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-ISP-FW8,ISP,DDC1-ISP-FW8 Eth1/2,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/4,ChannelDown,up,down,Yes,1,trunk,trunk,1,,Unknown,,,DDC1-PCIDMZ-DFW2,,DDC1-PCIDMZ-DFW2 Eth1/4,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
